
#
# Decomposition of simNUS_ft1/test010.ft1

VARS    INDEX C       BASIS_NAME
FORMAT  %4d   %14.6e  %s

    1 -3.285504e-08 basis_ft1/001.ft1
    2  1.049141e-07 basis_ft1/002.ft1
    3  1.067247e-07 basis_ft1/003.ft1
    4 -1.643295e-07 basis_ft1/004.ft1
    5 -1.888171e-09 basis_ft1/005.ft1
    6 -3.634182e-08 basis_ft1/006.ft1
    7  1.776206e-07 basis_ft1/007.ft1
    8 -2.302748e-07 basis_ft1/008.ft1
    9 -4.829511e-07 basis_ft1/009.ft1
   10 -6.590408e-07 basis_ft1/010.ft1
   11  1.024916e-07 basis_ft1/011.ft1
   12  6.938931e-07 basis_ft1/012.ft1
   13 -2.746195e-07 basis_ft1/013.ft1
   14 -6.420426e-07 basis_ft1/014.ft1
   15  3.195080e-07 basis_ft1/015.ft1
   16  6.637731e-07 basis_ft1/016.ft1
   17  1.956043e-07 basis_ft1/017.ft1
   18 -2.302722e-07 basis_ft1/018.ft1
   19  8.008565e-07 basis_ft1/019.ft1
   20  5.908827e-08 basis_ft1/020.ft1
   21 -2.898975e-07 basis_ft1/021.ft1
   22  9.921125e-08 basis_ft1/022.ft1
   23 -3.475865e-07 basis_ft1/023.ft1
   24  2.330259e-08 basis_ft1/024.ft1
   25 -9.119303e-12 basis_ft1/025.ft1
   26 -2.073125e-07 basis_ft1/026.ft1
   27  5.952105e-09 basis_ft1/027.ft1
   28 -4.730393e-08 basis_ft1/028.ft1
   29 -3.445017e-07 basis_ft1/029.ft1
   30 -8.102798e-07 basis_ft1/030.ft1
   31 -5.527394e-07 basis_ft1/031.ft1
   32  3.065900e-08 basis_ft1/032.ft1
   33 -4.508392e-07 basis_ft1/033.ft1
   34 -5.087875e-07 basis_ft1/034.ft1
   35 -1.159393e-06 basis_ft1/035.ft1
   36 -3.877749e-07 basis_ft1/036.ft1
   37  2.372485e-07 basis_ft1/037.ft1
   38  9.273490e-08 basis_ft1/038.ft1
   39  1.159675e-07 basis_ft1/039.ft1
   40  3.357343e-07 basis_ft1/040.ft1
   41  1.290230e-07 basis_ft1/041.ft1
   42 -2.032694e-07 basis_ft1/042.ft1
   43  8.428788e-09 basis_ft1/043.ft1
   44 -1.556948e-10 basis_ft1/044.ft1
   45  1.371575e-07 basis_ft1/045.ft1
   46 -3.675159e-07 basis_ft1/046.ft1
   47 -8.749321e-08 basis_ft1/047.ft1
   48  3.033994e-07 basis_ft1/048.ft1
   49  1.976120e-08 basis_ft1/049.ft1
   50 -4.120128e-07 basis_ft1/050.ft1
   51 -7.651122e-07 basis_ft1/051.ft1
   52 -1.627845e-07 basis_ft1/052.ft1
   53 -2.108415e-07 basis_ft1/053.ft1
   54 -8.560156e-08 basis_ft1/054.ft1
   55  5.114763e-07 basis_ft1/055.ft1
   56 -2.361010e-09 basis_ft1/056.ft1
   57  3.773133e-07 basis_ft1/057.ft1
   58 -1.911899e-07 basis_ft1/058.ft1
   59 -1.442956e-07 basis_ft1/059.ft1
   60 -1.379185e-07 basis_ft1/060.ft1
   61 -1.629855e-07 basis_ft1/061.ft1
   62 -6.030249e-07 basis_ft1/062.ft1
   63  7.702765e-07 basis_ft1/063.ft1
   64  1.433915e-07 basis_ft1/064.ft1
   65  4.813481e-07 basis_ft1/065.ft1
   66 -1.411274e-07 basis_ft1/066.ft1
   67 -3.926234e-07 basis_ft1/067.ft1
   68 -8.326335e-07 basis_ft1/068.ft1
   69 -5.335297e-07 basis_ft1/069.ft1
   70 -4.877947e-07 basis_ft1/070.ft1
   71 -4.300295e-07 basis_ft1/071.ft1
   72 -4.170527e-07 basis_ft1/072.ft1
   73 -1.654722e-07 basis_ft1/073.ft1
   74  1.752832e-07 basis_ft1/074.ft1
   75  3.098168e-07 basis_ft1/075.ft1
   76 -2.280322e-07 basis_ft1/076.ft1
   77  4.939147e-09 basis_ft1/077.ft1
   78 -2.133794e-07 basis_ft1/078.ft1
   79 -1.398477e-06 basis_ft1/079.ft1
   80 -2.588322e-07 basis_ft1/080.ft1
   81 -2.213950e-07 basis_ft1/081.ft1
   82  5.320125e-07 basis_ft1/082.ft1
   83 -2.249775e-07 basis_ft1/083.ft1
   84 -1.055804e-07 basis_ft1/084.ft1
   85 -3.097741e-07 basis_ft1/085.ft1
   86 -6.245027e-07 basis_ft1/086.ft1
   87 -2.603240e-07 basis_ft1/087.ft1
   88 -3.378083e-07 basis_ft1/088.ft1
   89 -5.236647e-07 basis_ft1/089.ft1
   90  1.899262e-07 basis_ft1/090.ft1
   91 -1.300548e-07 basis_ft1/091.ft1
   92 -1.953530e-07 basis_ft1/092.ft1
   93 -7.536528e-08 basis_ft1/093.ft1
   94 -2.054486e-07 basis_ft1/094.ft1
   95 -4.472405e-07 basis_ft1/095.ft1
   96  1.009905e-07 basis_ft1/096.ft1
   97  9.058649e-08 basis_ft1/097.ft1
   98  1.361033e-07 basis_ft1/098.ft1
   99 -5.687955e-07 basis_ft1/099.ft1
  100 -3.613299e-07 basis_ft1/100.ft1
